,時刻,エリアプライス中国(円/kWh)
0,2021-11-19 0:30:00,26.35
1,2021-11-19 1:00:00,13.99
2,2021-11-19 1:30:00,13.95
3,2021-11-19 2:00:00,15.0
4,2021-11-19 2:30:00,15.17
5,2021-11-19 3:00:00,15.86
6,2021-11-19 3:30:00,21.17
7,2021-11-19 4:00:00,21.17
8,2021-11-19 4:30:00,20.37
9,2021-11-19 5:00:00,20.37
10,2021-11-19 5:30:00,20.65
11,2021-11-19 6:00:00,20.37
12,2021-11-19 6:30:00,21.17
13,2021-11-19 7:00:00,25.77
14,2021-11-19 7:30:00,21.4
15,2021-11-19 8:00:00,21.21
16,2021-11-19 8:30:00,19.93
17,2021-11-19 9:00:00,14.07
18,2021-11-19 9:30:00,14.07
19,2021-11-19 10:00:00,13.75
20,2021-11-19 10:30:00,12.44
21,2021-11-19 11:00:00,12.03
22,2021-11-19 11:30:00,13.14
23,2021-11-19 12:00:00,13.75
24,2021-11-19 12:30:00,12.0
25,2021-11-19 13:00:00,11.53
26,2021-11-19 13:30:00,13.96
27,2021-11-19 14:00:00,15.57
28,2021-11-19 14:30:00,14.4
29,2021-11-19 15:00:00,15.0
30,2021-11-19 15:30:00,14.07
31,2021-11-19 16:00:00,14.4
32,2021-11-19 16:30:00,25.0
33,2021-11-19 17:00:00,34.99
34,2021-11-19 17:30:00,28.79
35,2021-11-19 18:00:00,28.79
36,2021-11-19 18:30:00,28.79
37,2021-11-19 19:00:00,25.0
38,2021-11-19 19:30:00,22.64
39,2021-11-19 20:00:00,20.27
40,2021-11-19 20:30:00,21.17
41,2021-11-19 21:00:00,20.37
42,2021-11-19 21:30:00,20.14
43,2021-11-19 22:00:00,14.07
44,2021-11-19 22:30:00,23.24
45,2021-11-19 23:00:00,22.22
46,2021-11-19 23:30:00,20.91
47,2021-11-20 00:00:00,22.08
